BTCUSDT
ETHUSDT
DOGEUSDT
EGLDUSDT
XLMUSDT
MKRUSDT
ZENUSDT
ATOMUSDT
COMPUSDT
BATUSDT
NEOUSDT
SOLUSDT
BCHUSDT
HNTUSDT
BANDUSDT
VTHOUSDT
KNCUSDT
